id,system,claim,document,expected_consistent,minicheck_label,minicheck_prob
39055714,baseline,"The head of a troubled school trust has written to parents warning of ""unthinkable"" decisions it could have to make to save money, including shortening the school day and cutting teaching jobs.","Dave Baker, of the Olympus Trust which operates near Bristol, said government cuts had left it at ""crisis point"".
Parents described the funding problem as ""diabolical"". A union said the idea was ""terrible"" but families deserved to know the truth about funding.
A Department for Education (DfE) spokesman said new funding plans would increase the trust's budget by 2.4%.
The Olympus Trust runs one secondary, one all-through school and five primary academies in South Gloucestershire, to the north of Bristol.
In the letter Mr Baker warned parents of the ""unthinkable"" decisions the trust could be forced to make from September.
These include shortening the school day ""because we cannot afford to staff lessons for the whole week"".
Other proposals are cutting teaching and support jobs within the schools, increasing class sizes and reducing the curriculum.
The letter also says parents may be asked to make regular financial contributions to supplement school funding.
Mr Baker said South Gloucestershire was one of the five worst-funded local authorities so had less reserves to draw upon.
Beckie Morton, a parent of two daughters at Charlborough Road Primary School, is anxious about the impact any cuts will have on her girls, aged 10 and seven.
She said: ""It's shocking - I don't know what I'd do work-wise if they shortened the school day.
""If they do this, all that will be left is the lessons and no extra support for pupils.
""My eldest daughter suffers panic attacks and has received a lot of pastoral care - this will have a massive impact on her final year there.""
Natalie, who has a son attending at Bradley Stoke Community School, called the proposals ""diabolical"".
She said: ""At the moment we are hoping to have a special needs support worker for my son and if they cut funding he won't have that.
""I don't blame the school, they are trying their best.""
In December, the government announced the biggest shake-up of school funding for decades.
The DfE said the current system was ""unfair, opaque and outdated"" and the changes would see more than half of England's schools get more cash.
""We recognise that schools are facing cost pressures, which is why we will continue to provide support to help them use their funding in cost-effective ways, including improving the way they buy goods and services, soâ€Ž they get the best possible value. ""
Kevin Courtney, chair of the National Union of Teachers (NUT), said schools were still facing an 8% reduction in spending power.
He said: ""All schools in England will have less money in real terms per pupil in 2020 than they do now.
""This cash they talk about doesn't keep pace with spending pressures on schools.
""The proposals Mr Baker has mentioned are terrible and none of them should happen, but parents deserve to know the truth about the position schools are in.""
The consultation on the new formula runs until 22 March 2017.",0,1,0.9812290668487549
39055714,reranked,"The chief executive of a school trust has written to parents warning of ""unthinkable"" decisions it could have to make over funding.","Dave Baker, of the Olympus Trust which operates near Bristol, said government cuts had left it at ""crisis point"".
Parents described the funding problem as ""diabolical"". A union said the idea was ""terrible"" but families deserved to know the truth about funding.
A Department for Education (DfE) spokesman said new funding plans would increase the trust's budget by 2.4%.
The Olympus Trust runs one secondary, one all-through school and five primary academies in South Gloucestershire, to the north of Bristol.
In the letter Mr Baker warned parents of the ""unthinkable"" decisions the trust could be forced to make from September.
These include shortening the school day ""because we cannot afford to staff lessons for the whole week"".
Other proposals are cutting teaching and support jobs within the schools, increasing class sizes and reducing the curriculum.
The letter also says parents may be asked to make regular financial contributions to supplement school funding.
Mr Baker said South Gloucestershire was one of the five worst-funded local authorities so had less reserves to draw upon.
Beckie Morton, a parent of two daughters at Charlborough Road Primary School, is anxious about the impact any cuts will have on her girls, aged 10 and seven.
She said: ""It's shocking - I don't know what I'd do work-wise if they shortened the school day.
""If they do this, all that will be left is the lessons and no extra support for pupils.
""My eldest daughter suffers panic attacks and has received a lot of pastoral care - this will have a massive impact on her final year there.""
Natalie, who has a son attending at Bradley Stoke Community School, called the proposals ""diabolical"".
She said: ""At the moment we are hoping to have a special needs support worker for my son and if they cut funding he won't have that.
""I don't blame the school, they are trying their best.""
In December, the government announced the biggest shake-up of school funding for decades.
The DfE said the current system was ""unfair, opaque and outdated"" and the changes would see more than half of England's schools get more cash.
""We recognise that schools are facing cost pressures, which is why we will continue to provide support to help them use their funding in cost-effective ways, including improving the way they buy goods and services, soâ€Ž they get the best possible value. ""
Kevin Courtney, chair of the National Union of Teachers (NUT), said schools were still facing an 8% reduction in spending power.
He said: ""All schools in England will have less money in real terms per pupil in 2020 than they do now.
""This cash they talk about doesn't keep pace with spending pressures on schools.
""The proposals Mr Baker has mentioned are terrible and none of them should happen, but parents deserve to know the truth about the position schools are in.""
The consultation on the new formula runs until 22 March 2017.",0,1,0.9794253706932068
35345872,baseline,"Pakistan has lifted a ban on the video-sharing website YouTube, imposed after an anti-Islam video was posted online.","Pakistan's telecoms regulator said the ban was no longer necessary because Google, which owns YouTube, had now launched a Pakistan-specific version.
YouTube has denied claims that the authorities can filter content.
Many young Pakistanis have welcomed the lifting of the ban but some activists want details of the deal with Google.
They say there should be greater transparency of the terms agreed between Google and the government.
A Pakistan Telecommunication Authority (PTA) official confirmed to the BBC that all internet service providers had been directed to open access to YouTube.
The Pakistan Telecommunication Company Ltd posted on its Facebook page on Monday: ""Welcome Back YouTube"".
Pakistan's ministry of information technology said: ""Google has provided an online web process through which requests for blocking access of offending material can be made by the PTA to Google directly.
""Google/YouTube will accordingly restrict access to the said offending material for users within Pakistan.""
However, a YouTube spokeswoman said government requests for the removal of content would not automatically be granted.
""We have clear community guidelines, and when videos violate those rules, we remove them,"" she said.
""In addition, where we have launched YouTube locally and we are notified that a video is illegal in that country, we may restrict access to it after a thorough review.""
She said requests by governments for content to be removed would be recorded in YouTube's Transparency Report.
Pakistan's ban on YouTube was imposed by the Supreme Court in 2012 after the US-made film Innocence of Muslims was uploaded.
The amateur-made video was condemned in the Muslim world and sparked widespread protests for its mocking portrayal of the Prophet Muhammad.
More than a dozen people died in protests in Pakistan.
Blasphemy is a crime in Pakistan and can carry the death penalty, although such a sentence has not been carried out.
Google revealed last week that it had launched local versions of YouTube for Nepal, Pakistan and Sri Lanka.",0,1,0.9434230923652649
35345872,reranked,"Pakistan has lifted a ban on the video-sharing website YouTube, imposed after an anti-Islam video was made and widely condemned.","Pakistan's telecoms regulator said the ban was no longer necessary because Google, which owns YouTube, had now launched a Pakistan-specific version.
YouTube has denied claims that the authorities can filter content.
Many young Pakistanis have welcomed the lifting of the ban but some activists want details of the deal with Google.
They say there should be greater transparency of the terms agreed between Google and the government.
A Pakistan Telecommunication Authority (PTA) official confirmed to the BBC that all internet service providers had been directed to open access to YouTube.
The Pakistan Telecommunication Company Ltd posted on its Facebook page on Monday: ""Welcome Back YouTube"".
Pakistan's ministry of information technology said: ""Google has provided an online web process through which requests for blocking access of offending material can be made by the PTA to Google directly.
""Google/YouTube will accordingly restrict access to the said offending material for users within Pakistan.""
However, a YouTube spokeswoman said government requests for the removal of content would not automatically be granted.
""We have clear community guidelines, and when videos violate those rules, we remove them,"" she said.
""In addition, where we have launched YouTube locally and we are notified that a video is illegal in that country, we may restrict access to it after a thorough review.""
She said requests by governments for content to be removed would be recorded in YouTube's Transparency Report.
Pakistan's ban on YouTube was imposed by the Supreme Court in 2012 after the US-made film Innocence of Muslims was uploaded.
The amateur-made video was condemned in the Muslim world and sparked widespread protests for its mocking portrayal of the Prophet Muhammad.
More than a dozen people died in protests in Pakistan.
Blasphemy is a crime in Pakistan and can carry the death penalty, although such a sentence has not been carried out.
Google revealed last week that it had launched local versions of YouTube for Nepal, Pakistan and Sri Lanka.",0,1,0.9501010179519653
35926534,baseline,"Everton have agreed a loan deal for Oxford United midfielder Callum Kenny until the end of the season, subject to international clearance.","The 19-year-old will now be eligible to play against Barnsley in the Football League Trophy final on Sunday.
Kenny, who joined up with the England Under-20 squad over Easter, has so far made 13 appearances for the U's.
""He has done really well for us and is enjoying his football,"" said Oxford head coach Michael Appleton.
""He is highly thought of at Goodison Park and has a big future.""",0,0,0.003821857739239931
35926534,reranked,Oxford United midfielder Callum Kenny has signed a new one-year contract with the League One club.,"The 19-year-old will now be eligible to play against Barnsley in the Football League Trophy final on Sunday.
Kenny, who joined up with the England Under-20 squad over Easter, has so far made 13 appearances for the U's.
""He has done really well for us and is enjoying his football,"" said Oxford head coach Michael Appleton.
""He is highly thought of at Goodison Park and has a big future.""",0,0,0.003083491465076804
36369346,baseline,A 24-hour strike by university staff has been called off in a dispute over pay.,"The University and College Union says the 1.1% rise offered by the universities is ""an insult"".
But the Universities and Colleges Employers Association said the walkout was ""disappointing given the very good pay offer"".
Unions representing university support staff are balloting on the offer, with strike action possible in the autumn.
UCU says its members have suffered a real-terms pay cut of 14.% since 2009 and complains the squeeze on staff salaries has come as university leaders enjoyed hefty increases.
""A 1.1% pay offer is an insult to hardworking staff, especially in light of the 5% pay rise vice-chancellors have enjoyed while holding down staff pay,"" said general secretary Sally Hunt.
""Industrial action which impacts on students is never taken lightly, but members feel that they have been left with no alternative.
""If the employers wish to see a swift end to this dispute, and avoid further disruption, they need to come back to the table with a much-improved offer.""
Summer exams are still running at some universities, though many have finished.
A spokesman for the employers anticipated only ""minor impact and minimal student disruption"".
""Even for examinations which are still taking place at some higher education institutions, more than nine out of 10 report that a no to low impact is anticipated,"" said the spokesman.
""We would like to see the UCU consulting its members on the final offer.""
The employers say the offer is ""at, and, for some, beyond, a limit of affordability for higher education institutions and the very best offer that will be available this year"".
They maintain the weighting of the offer means the worst paid university staff will get a rise of more than 5%.
They say they have also offered talks on zero-hours contracts and on improving lower pay for female academics.
But UCU says it rejected the 1.1% offer as it was only a marginal improvement on the original 1% on which it had balloted members.
Ballots of university support staff represented by Unison and Unite are also under way on the improved offer, with both unions recommending it be rejected.
Any action would take place during the autumn term, said a Unison spokeswoman.
UCU is planning strike rallies in:
Staff are also working to contract from Wednesday - refusing to set extra work, cover for absent colleagues or work overtime.",0,0,0.008849729783833027
36369346,reranked,A one-day strike by university staff has been called off in a dispute over pay.,"The University and College Union says the 1.1% rise offered by the universities is ""an insult"".
But the Universities and Colleges Employers Association said the walkout was ""disappointing given the very good pay offer"".
Unions representing university support staff are balloting on the offer, with strike action possible in the autumn.
UCU says its members have suffered a real-terms pay cut of 14.% since 2009 and complains the squeeze on staff salaries has come as university leaders enjoyed hefty increases.
""A 1.1% pay offer is an insult to hardworking staff, especially in light of the 5% pay rise vice-chancellors have enjoyed while holding down staff pay,"" said general secretary Sally Hunt.
""Industrial action which impacts on students is never taken lightly, but members feel that they have been left with no alternative.
""If the employers wish to see a swift end to this dispute, and avoid further disruption, they need to come back to the table with a much-improved offer.""
Summer exams are still running at some universities, though many have finished.
A spokesman for the employers anticipated only ""minor impact and minimal student disruption"".
""Even for examinations which are still taking place at some higher education institutions, more than nine out of 10 report that a no to low impact is anticipated,"" said the spokesman.
""We would like to see the UCU consulting its members on the final offer.""
The employers say the offer is ""at, and, for some, beyond, a limit of affordability for higher education institutions and the very best offer that will be available this year"".
They maintain the weighting of the offer means the worst paid university staff will get a rise of more than 5%.
They say they have also offered talks on zero-hours contracts and on improving lower pay for female academics.
But UCU says it rejected the 1.1% offer as it was only a marginal improvement on the original 1% on which it had balloted members.
Ballots of university support staff represented by Unison and Unite are also under way on the improved offer, with both unions recommending it be rejected.
Any action would take place during the autumn term, said a Unison spokeswoman.
UCU is planning strike rallies in:
Staff are also working to contract from Wednesday - refusing to set extra work, cover for absent colleagues or work overtime.",0,0,0.019331833347678185
39070183,baseline,"A low-calorie diet can restore the function of a special type of cell in the pancreas, a study suggests.","Restoring the function of the organ - which helps control blood sugar levels - reversed symptoms of diabetes in animal experiments.
The study, published in the journal Cell, says the diet reboots the body.
Experts said the findings were ""potentially very exciting"" as they could become a new treatment for the disease.
The experiments were on mice put on a modified form of the ""fasting-mimicking diet"".
When people go on it they spend five days on a low calorie, low protein, low carbohydrate but high unsaturated-fat diet.
It resembles a vegan diet with nuts and soups, but with around 800 to 1,100 calories a day.
Then they have 25 days eating what they want - so overall it mimics periods of feast and famine.
Previous research has suggested it can slow the pace of ageing.
But animal experiments showed the diet regenerated a special type of cell in the pancreas called a beta cell.
These are the cells that detect sugar in the blood and release the hormone insulin if it gets too high.
Dr Valter Longo, from the University of Southern California, said: ""Our conclusion is that by pushing the mice into an extreme state and then bringing them back - by starving them and then feeding them again - the cells in the pancreas are triggered to use some kind of developmental reprogramming that rebuilds the part of the organ that's no longer functioning.""
There were benefits in both type 1 and type 2 diabetes in the mouse experiments.
Type 1 is caused by the immune system destroying beta cells and type 2 is largely caused by lifestyle and the body no longer responding to insulin.
Further tests on tissue samples from people with type 1 diabetes produced similar effects.
Dr Longo said: ""Medically, these findings have the potential to be very important because we've shown - at least in mouse models - that you can use diet to reverse the symptoms of diabetes.
""Scientifically, the findings are perhaps even more important because we've shown that you can use diet to reprogram cells without having to make any genetic alterations.""
BBC reporter Peter Bowes took part in a separate trial with Dr Valter Longo.
He said: ""During each five-day fasting cycle, when I ate about a quarter of the average person's diet, I lost between 2kg and 4kg (4.4-8.8lbs).
""But before the next cycle came round, 25 days of eating normally had returned me almost to my original weight.
""But not all consequences of the diet faded so quickly.""
His blood pressure was lower as was a hormone called IGF-1, which is linked to some cancers.
He said: ""The very small meals I was given during the five-day fast were far from gourmet cooking, but I was glad to have something to eat""
Peter Bowes: Fasting for science
Peter Bowes: Intermittent fasting and the good things it did to my body
Separate trials of the diet in people have been shown to improve blood sugar levels. The latest findings help to explain why.
However, Dr Longo said people should not rush off and crash diet.
He told the BBC: ""It boils down to do not try this at home, this is so much more sophisticated than people realise.""
He said people could ""get into trouble"" with their health if it was done without medical guidance.
Dr Emily Burns, research communications manager at Diabetes UK, said: ""This is potentially very exciting news, but we need to see if the results hold true in humans before we'll know more about what it means for people with diabetes.
""People with type-1 and type-2 diabetes would benefit immensely from treatments that can repair or regenerate insulin-producing cells in the pancreas.""
Follow James on Twitter.",0,1,0.8157281279563904
39070183,reranked,"A low-calorie diet can rejuvenate a specific type of cell in the pancreas, a study suggests.","Restoring the function of the organ - which helps control blood sugar levels - reversed symptoms of diabetes in animal experiments.
The study, published in the journal Cell, says the diet reboots the body.
Experts said the findings were ""potentially very exciting"" as they could become a new treatment for the disease.
The experiments were on mice put on a modified form of the ""fasting-mimicking diet"".
When people go on it they spend five days on a low calorie, low protein, low carbohydrate but high unsaturated-fat diet.
It resembles a vegan diet with nuts and soups, but with around 800 to 1,100 calories a day.
Then they have 25 days eating what they want - so overall it mimics periods of feast and famine.
Previous research has suggested it can slow the pace of ageing.
But animal experiments showed the diet regenerated a special type of cell in the pancreas called a beta cell.
These are the cells that detect sugar in the blood and release the hormone insulin if it gets too high.
Dr Valter Longo, from the University of Southern California, said: ""Our conclusion is that by pushing the mice into an extreme state and then bringing them back - by starving them and then feeding them again - the cells in the pancreas are triggered to use some kind of developmental reprogramming that rebuilds the part of the organ that's no longer functioning.""
There were benefits in both type 1 and type 2 diabetes in the mouse experiments.
Type 1 is caused by the immune system destroying beta cells and type 2 is largely caused by lifestyle and the body no longer responding to insulin.
Further tests on tissue samples from people with type 1 diabetes produced similar effects.
Dr Longo said: ""Medically, these findings have the potential to be very important because we've shown - at least in mouse models - that you can use diet to reverse the symptoms of diabetes.
""Scientifically, the findings are perhaps even more important because we've shown that you can use diet to reprogram cells without having to make any genetic alterations.""
BBC reporter Peter Bowes took part in a separate trial with Dr Valter Longo.
He said: ""During each five-day fasting cycle, when I ate about a quarter of the average person's diet, I lost between 2kg and 4kg (4.4-8.8lbs).
""But before the next cycle came round, 25 days of eating normally had returned me almost to my original weight.
""But not all consequences of the diet faded so quickly.""
His blood pressure was lower as was a hormone called IGF-1, which is linked to some cancers.
He said: ""The very small meals I was given during the five-day fast were far from gourmet cooking, but I was glad to have something to eat""
Peter Bowes: Fasting for science
Peter Bowes: Intermittent fasting and the good things it did to my body
Separate trials of the diet in people have been shown to improve blood sugar levels. The latest findings help to explain why.
However, Dr Longo said people should not rush off and crash diet.
He told the BBC: ""It boils down to do not try this at home, this is so much more sophisticated than people realise.""
He said people could ""get into trouble"" with their health if it was done without medical guidance.
Dr Emily Burns, research communications manager at Diabetes UK, said: ""This is potentially very exciting news, but we need to see if the results hold true in humans before we'll know more about what it means for people with diabetes.
""People with type-1 and type-2 diabetes would benefit immensely from treatments that can repair or regenerate insulin-producing cells in the pancreas.""
Follow James on Twitter.",0,1,0.9291663765907288
