sample_rank,sample_stratum,comparison_outcome,factuality_gain_bucket,id,split,document,reference,baseline_summary,reranked_summary,baseline_factcc_style_score,reranked_factcc_style_score,baseline_summac_style_score,reranked_summac_style_score,baseline_entity_support_score,reranked_entity_support_score,baseline_factuality_composite,reranked_factuality_composite,factuality_delta,rougeLsum_delta,candidate_strategy_baseline,candidate_strategy_reranked,model_selected_system,model_primary_error_type,model_secondary_error_type,model_world_knowledge_addition,model_notes,selected_system,baseline_consistent,reranked_consistent,primary_error_type,secondary_error_type,world_knowledge_addition,annotator_id,annotation_method,notes
1,baseline_win | high_factuality_gain | Negation / polarity / stance reversal,baseline_win,high_factuality_gain,21967739,test_final,"According to Cancer Research UK some 41, 000 men are diagnosed with prostate cancer every year, but 10,700 will die of the disease, making it the fourth most common cause of cancer death - and second only to lung cancer in men.
Given such a dire prognosis, and let's face it, given the financial profile of its victims, you might be forgiven for assuming that prostate cancer would be one of the most highly prioritised and well researched areas of oncology. Not a bit of it. Perhaps it's because men are squeamish, or don't like to talk about their health or visit the doctor, but prostate cancer has long been dubbed ""the Cinderella cancer"".
""We just don't make enough of it"" according to consultant oncologist Professor Neil Burnet. ""On the whole men are less vocal about their health, and older men tend to be even more stoical, preferring to grin and bear it. But it means men are poor advocates, and as a result prostate cancer has been overlooked"".
Based at Addenbrooke's Hospital on the outskirts of Cambridge, Prof Burnet is trying to improve the targeting and efficiency of radiotherapy treatments, and to reduce toxicity in the healthy tissue surrounding the prostate. The technique, called Image Guided Intensity Modulated Radiotherapy Treatment uses imaging provided by a CT scan to target the tumour before a powerful but precisely shaped radiation dose is administered.
""What limits what we can do with radiotherapy are the side effects of the treatment, the toxicity.  And, since the prostate can move by up to a couple of centimetres from one day to the next, targeting the treatment is really important. The second half of this technology is in delivering intensity modulated radiotherapy, which allows us to match a higher dose of radiation to the shape of the tumour.""
But if Image Guided IMRT offers the prospect of better outcomes for men with advanced or aggressive prostate cancer, how much better might it be to get in at an earlier stage?
That - at least in part - was the motivation behind the Collaborative Oncological Gene/Environment Study, or COGES, which has announced the discovery of 80 new genetic markers for breast, ovarian and prostate cancer. In one of the largest research projects of its kind scientists from Cambridge University and the Institute of Cancer Research in London looked at samples from more than 200,000 people - half with, and half without, cancer.
The results include 23 new gene variants associated with prostate cancer and 16 with aggressive forms of the disease. Initially at least that should help with the development of a viable screening test for the disease. In the longer term it may present new targets for drug treatment and better diagnosis, and a greater understanding of the mechanisms and basic biology of prostate cancer.
""It's shocking, but we still don't have an adequate screening test for prostate cancer,"" says Ros Eeles, Professor of Oncogenetics at the Institute of Cancer Research and COGES study leader on prostate cancer. ""That's because the Prostate Specific Antigen, or PSA test, just isn't accurate enough and you'd have to treat between 12 and 48 men unnecessarily to save a single life. With this new information we could have a viable test in five to eight years"".
If that still seems a long way off, surgical techniques have advanced dramatically when it comes to prostate cancer. These days consultant urologist Professor David Neal uses the DaVinci surgical robot to perform prostate surgery.
Sitting at a computer console that looks like it would be more at home in an amusement arcade than an operating theatre, Prof Neal can perform a prostatectomy without ever touching his patient. And because the robotic arms of the device (which looks a little like a crab hovering over the operating table) are much thinner than the surgeon's, and the grappling and cutting tools at the sharp end are much smaller, what was once a major operation is now less invasive.
As with Image Guided Intensity Modulated Radiotherapy collateral damage to surrounding healthy tissue is kept to a minimum.
""The DaVinci robot has made a huge difference to prostate surgery"" says Prof Neal. ""It's still a major operation, but we can be very precise about what we remove and the function we're able to save. That's got to be good news for the patient"".","It's a sobering thought for all us carriers of the Y chromosome, but prostate cancer kills almost as many men every year as breast cancer does women.","It's the most common form of cancer in men, and it's one of the leading causes of cancer death in men.","Prostate cancer has been called ""the Cinderella cancer"".",0.892345,0.864823,0.027905,0.798185,0.961905,0.775,0.627385,0.8126693333333334,0.18528433333333338,-0.068627,hf_beam_0,hf_beam_15,baseline,Negation / polarity / stance reversal,No clear factual issue,False,Sentence count=1; entity_support=0.962; factcc_style=0.892,baseline,False,False,Negation / polarity / stance reversal,No clear factual issue,False,codex,ai-assisted expert adjudication,Sentence count=1; entity_support=0.962; factcc_style=0.892
2,baseline_win | high_factuality_gain | Entity swap / wrong named entity / unsupported named entity,baseline_win,high_factuality_gain,35345872,test_final,"Pakistan's telecoms regulator said the ban was no longer necessary because Google, which owns YouTube, had now launched a Pakistan-specific version.
YouTube has denied claims that the authorities can filter content.
Many young Pakistanis have welcomed the lifting of the ban but some activists want details of the deal with Google.
They say there should be greater transparency of the terms agreed between Google and the government.
A Pakistan Telecommunication Authority (PTA) official confirmed to the BBC that all internet service providers had been directed to open access to YouTube.
The Pakistan Telecommunication Company Ltd posted on its Facebook page on Monday: ""Welcome Back YouTube"".
Pakistan's ministry of information technology said: ""Google has provided an online web process through which requests for blocking access of offending material can be made by the PTA to Google directly.
""Google/YouTube will accordingly restrict access to the said offending material for users within Pakistan.""
However, a YouTube spokeswoman said government requests for the removal of content would not automatically be granted.
""We have clear community guidelines, and when videos violate those rules, we remove them,"" she said.
""In addition, where we have launched YouTube locally and we are notified that a video is illegal in that country, we may restrict access to it after a thorough review.""
She said requests by governments for content to be removed would be recorded in YouTube's Transparency Report.
Pakistan's ban on YouTube was imposed by the Supreme Court in 2012 after the US-made film Innocence of Muslims was uploaded.
The amateur-made video was condemned in the Muslim world and sparked widespread protests for its mocking portrayal of the Prophet Muhammad.
More than a dozen people died in protests in Pakistan.
Blasphemy is a crime in Pakistan and can carry the death penalty, although such a sentence has not been carried out.
Google revealed last week that it had launched local versions of YouTube for Nepal, Pakistan and Sri Lanka.","Pakistan has unblocked the video sharing site, YouTube, more than three years after it was banned for posting a video deemed insulting to Islam.","Pakistan has lifted a ban on the video-sharing website YouTube, imposed after an anti-Islam video was posted online.","Pakistan has lifted a ban on the video-sharing website YouTube, imposed after an anti-Islam video was made and widely condemned.",0.0703,0.039358,0.111065,0.448282,0.794444,0.79,0.3252696666666667,0.42588,0.1006103333333333,-0.06126499999999996,hf_beam_0,hf_beam_11,baseline,Entity swap / wrong named entity / unsupported named entity,No clear factual issue,False,Sentence count=1; entity_support=0.794; factcc_style=0.070,baseline,False,False,Entity swap / wrong named entity / unsupported named entity,No clear factual issue,False,codex,ai-assisted expert adjudication,Sentence count=1; entity_support=0.794; factcc_style=0.070
3,baseline_win | moderate_factuality_gain | Entity swap / wrong named entity / unsupported named entity,baseline_win,moderate_factuality_gain,35926534,test_final,"The 19-year-old will now be eligible to play against Barnsley in the Football League Trophy final on Sunday.
Kenny, who joined up with the England Under-20 squad over Easter, has so far made 13 appearances for the U's.
""He has done really well for us and is enjoying his football,"" said Oxford head coach Michael Appleton.
""He is highly thought of at Goodison Park and has a big future.""",Oxford United have extended the loan of right-back Jonjoe Kenny from Premier League side Everton until the end of the season.,"Everton have agreed a loan deal for Oxford United midfielder Callum Kenny until the end of the season, subject to international clearance.",Oxford United midfielder Callum Kenny has signed a new one-year contract with the League One club.,0.065041,0.063903,0.0,0.100781,0.413636,0.425,0.159559,0.1965613333333333,0.037002333333333304,-0.20396299999999998,hf_beam_0,hf_beam_12,baseline,Entity swap / wrong named entity / unsupported named entity,No clear factual issue,False,Sentence count=1; entity_support=0.414; factcc_style=0.065,baseline,False,False,Entity swap / wrong named entity / unsupported named entity,No clear factual issue,False,codex,ai-assisted expert adjudication,Sentence count=1; entity_support=0.414; factcc_style=0.065
4,baseline_win | moderate_factuality_gain | Number or date distortion,baseline_win,moderate_factuality_gain,36369346,test_final,"The University and College Union says the 1.1% rise offered by the universities is ""an insult"".
But the Universities and Colleges Employers Association said the walkout was ""disappointing given the very good pay offer"".
Unions representing university support staff are balloting on the offer, with strike action possible in the autumn.
UCU says its members have suffered a real-terms pay cut of 14.% since 2009 and complains the squeeze on staff salaries has come as university leaders enjoyed hefty increases.
""A 1.1% pay offer is an insult to hardworking staff, especially in light of the 5% pay rise vice-chancellors have enjoyed while holding down staff pay,"" said general secretary Sally Hunt.
""Industrial action which impacts on students is never taken lightly, but members feel that they have been left with no alternative.
""If the employers wish to see a swift end to this dispute, and avoid further disruption, they need to come back to the table with a much-improved offer.""
Summer exams are still running at some universities, though many have finished.
A spokesman for the employers anticipated only ""minor impact and minimal student disruption"".
""Even for examinations which are still taking place at some higher education institutions, more than nine out of 10 report that a no to low impact is anticipated,"" said the spokesman.
""We would like to see the UCU consulting its members on the final offer.""
The employers say the offer is ""at, and, for some, beyond, a limit of affordability for higher education institutions and the very best offer that will be available this year"".
They maintain the weighting of the offer means the worst paid university staff will get a rise of more than 5%.
They say they have also offered talks on zero-hours contracts and on improving lower pay for female academics.
But UCU says it rejected the 1.1% offer as it was only a marginal improvement on the original 1% on which it had balloted members.
Ballots of university support staff represented by Unison and Unite are also under way on the improved offer, with both unions recommending it be rejected.
Any action would take place during the autumn term, said a Unison spokeswoman.
UCU is planning strike rallies in:
Staff are also working to contract from Wednesday - refusing to set extra work, cover for absent colleagues or work overtime.","University lecturers are due to start a two-day strike over pay, amid warnings other staff could join the dispute.",A 24-hour strike by university staff has been called off in a dispute over pay.,A one-day strike by university staff has been called off in a dispute over pay.,0.82975,0.689018,0.0,0.0,0.67,0.92,0.4999166666666667,0.5363393333333334,0.036422666666666714,0.05555600000000002,hf_beam_0,hf_beam_3,baseline,Number or date distortion,No clear factual issue,False,Sentence count=1; entity_support=0.670; factcc_style=0.830,baseline,False,False,Number or date distortion,No clear factual issue,False,codex,ai-assisted expert adjudication,Sentence count=1; entity_support=0.670; factcc_style=0.830
5,baseline_win | low_or_no_gain | Negation / polarity / stance reversal,baseline_win,low_or_no_gain,39070183,test_final,"Restoring the function of the organ - which helps control blood sugar levels - reversed symptoms of diabetes in animal experiments.
The study, published in the journal Cell, says the diet reboots the body.
Experts said the findings were ""potentially very exciting"" as they could become a new treatment for the disease.
The experiments were on mice put on a modified form of the ""fasting-mimicking diet"".
When people go on it they spend five days on a low calorie, low protein, low carbohydrate but high unsaturated-fat diet.
It resembles a vegan diet with nuts and soups, but with around 800 to 1,100 calories a day.
Then they have 25 days eating what they want - so overall it mimics periods of feast and famine.
Previous research has suggested it can slow the pace of ageing.
But animal experiments showed the diet regenerated a special type of cell in the pancreas called a beta cell.
These are the cells that detect sugar in the blood and release the hormone insulin if it gets too high.
Dr Valter Longo, from the University of Southern California, said: ""Our conclusion is that by pushing the mice into an extreme state and then bringing them back - by starving them and then feeding them again - the cells in the pancreas are triggered to use some kind of developmental reprogramming that rebuilds the part of the organ that's no longer functioning.""
There were benefits in both type 1 and type 2 diabetes in the mouse experiments.
Type 1 is caused by the immune system destroying beta cells and type 2 is largely caused by lifestyle and the body no longer responding to insulin.
Further tests on tissue samples from people with type 1 diabetes produced similar effects.
Dr Longo said: ""Medically, these findings have the potential to be very important because we've shown - at least in mouse models - that you can use diet to reverse the symptoms of diabetes.
""Scientifically, the findings are perhaps even more important because we've shown that you can use diet to reprogram cells without having to make any genetic alterations.""
BBC reporter Peter Bowes took part in a separate trial with Dr Valter Longo.
He said: ""During each five-day fasting cycle, when I ate about a quarter of the average person's diet, I lost between 2kg and 4kg (4.4-8.8lbs).
""But before the next cycle came round, 25 days of eating normally had returned me almost to my original weight.
""But not all consequences of the diet faded so quickly.""
His blood pressure was lower as was a hormone called IGF-1, which is linked to some cancers.
He said: ""The very small meals I was given during the five-day fast were far from gourmet cooking, but I was glad to have something to eat""
Peter Bowes: Fasting for science
Peter Bowes: Intermittent fasting and the good things it did to my body
Separate trials of the diet in people have been shown to improve blood sugar levels. The latest findings help to explain why.
However, Dr Longo said people should not rush off and crash diet.
He told the BBC: ""It boils down to do not try this at home, this is so much more sophisticated than people realise.""
He said people could ""get into trouble"" with their health if it was done without medical guidance.
Dr Emily Burns, research communications manager at Diabetes UK, said: ""This is potentially very exciting news, but we need to see if the results hold true in humans before we'll know more about what it means for people with diabetes.
""People with type-1 and type-2 diabetes would benefit immensely from treatments that can repair or regenerate insulin-producing cells in the pancreas.""
Follow James on Twitter.","The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers.","A low-calorie diet can rejuvenate a special type of cell in the pancreas, a study suggests.","A low-calorie diet can rejuvenate a specific type of cell in the pancreas, a study suggests.",0.889607,0.887796,0.302988,0.398052,0.9375,0.925,0.7100316666666666,0.7369493333333335,0.02691766666666684,0.0,hf_beam_3,hf_beam_10,baseline,Negation / polarity / stance reversal,No clear factual issue,False,Sentence count=1; entity_support=0.938; factcc_style=0.890,baseline,False,False,Negation / polarity / stance reversal,No clear factual issue,False,codex,ai-assisted expert adjudication,Sentence count=1; entity_support=0.938; factcc_style=0.890
6,baseline_win | low_or_no_gain | Entity swap / wrong named entity / unsupported named entity,baseline_win,low_or_no_gain,29240782,test_final,"The Toffees, back in the tournament for the first time since 2010, controlled much of the game as a Ricardo Rodriguez own goal and a Seamus Coleman header gave them a 2-0 half-time lead.
Leighton Baines put the game beyond Wolfsburg with a second-half penalty.
Kevin Mirallas drilled in a late fourth for Everton before Rodriguez grabbed a consolation with a curled free-kick.
The win puts Everton top of Group H and was just reward for manager Roberto Martinez, who underlined his intention to take the competition seriously by naming a strong side, after calling it ""the perfect next step"" for the club.
The Toffees narrowly missed out on the Champions League last season as they finished fifth in the Premier League, but with their participation in this season's Europa League ending a four-year absence, Martinez has expressed a determination to go as far as possible.
Everton's attacking display on Thursday will certainly give him confidence of progressing from a group that also contains French side Lille and Russians FK Krasnodar.
Martinez had opted not to rest any of his first-team regulars for the visit of Wolfsburg, naming the same side that defeated West Brom 2-0 in the Premier League on Saturday.
Romelu Lukaku got his first of the campaign in that game and the striker spearheaded an exciting, attacking quartet that also included Aiden McGeady, Naismith and Mirallas.
They have all contributed to Everton's impressive statistic of having scored at least two goals in every game this season, and it was of little surprise they each played significant roles in the goals against Wolfsburg.
Naismith was the first to make a telling contribution, forcing the opener with Everton's first attack. After winning possession, Naismith ran into the area to receive a Baines pass before stabbing a shot at goal. Rodriguez tried to clear, but the ball cannoned off goalkeeper Diego Benaglio, and hit the Wolfsburg full-back again before ending up in his own net.
That was Everton's first goal in Europe at Goodison Park since beating Sporting Lisbon 2-1 in February 2010, and it had the buoyant home crowd hungry for more.
Everton duly attempted to deliver, with full-backs Baines and Coleman becoming more adventurous as Wolfsburg offered little going forward, and their attacking instincts resulted in the home side's second goal on the stroke of half-time.
Mirallas's drive was weakly pushed into the path of Baines, who had followed the shot into the area, and he knocked the ball across goal for Coleman to nod in.
Wolfsburg boss Dieter Hecking introduced Germany midfielder Aaron Hunt for the start of the second half, but within seconds of the restart Everton went further ahead. This time, Robin Knoche's foul on McGeady was deemed to have occurred inside the area, and Baines confidently despatched the resulting penalty.
The goal effectively ended Wolfsburg's hopes of returning to Germany with anything to show but, with nothing to lose, they embarked on a spell of dominance.
For a good 30 minutes they enjoyed the lion's share of possession and attempts on goal, as Tim Howard produced saves from Luiz Gustavo's opportunistic shot and Rodriguez's well-struck free-kick.
Former Arsenal striker Nicklas Bendtner was introduced after the hour, with Wolfsburg boss Hecking sensing a possible goal, but instead it was Everton who grabbed a fourth. Mirallas peeled away from defenders to run on to substitute Samuel Eto'o's through ball and he coolly slotted in at Benaglio's near post.
There was still time for Wolfsburg to get the consolation their 27 shots on goal deserved, Rodriguez making some amends for his early own goal with a curling free-kick.
Everton boss Roberto Martinez: ""The atmosphere was perfect for us to start a very good performance.
""I thought there were two very good sides. On the night the scoreline probably doesn't reflect the difference between the two sides.
""We scored at the right times. Our work-rate was magnificent. We had to defend and we did that really well but every time we went forward we had a clinical touch about us.""
Wolfsburg boss Dieter Hecking: ""It's obviously not the start we'd hoped for. We were lacking in certain areas, both in terms of finishing and defensive work.
""We should have gone into half-time a goal down and we got hit with a second just before the break. Straight after the restart, 3-0 down and the game is lost.
""We really weren't smart enough and showed a certain naivety.""",Everton marked their Europa League return with a dominant victory over Germans Wolfsburg at Goodison Park.,Everton eased into the Europa League group stage with a comfortable win over German side Wolfsburg at Goodison Park.,Everton marked their return to European competition with a comfortable win over German side Wolfsburg at Goodison Park.,0.013579,0.0,0.016082,0.152137,0.756842,0.652222,0.2621676666666667,0.2681196666666666,0.005951999999999902,0.07731100000000002,hf_beam_0,hf_beam_6,baseline,Entity swap / wrong named entity / unsupported named entity,No clear factual issue,False,Sentence count=1; entity_support=0.757; factcc_style=0.014,baseline,False,False,Entity swap / wrong named entity / unsupported named entity,No clear factual issue,False,codex,ai-assisted expert adjudication,Sentence count=1; entity_support=0.757; factcc_style=0.014
7,baseline_win | factuality_regression | Entity swap / wrong named entity / unsupported named entity,baseline_win,factuality_regression,36892983,test_final,"Relieved that the giant telecoms company would not be broken up, they piled into the shares, sending them up 3% in early trading.
BT dodged a bullet - and, as the chief executive of Ofcom, Sharon White, admitted, it was for prosaic reasons.
She said complications with land deals and BT's giant pension scheme meant there were ""practical obstacles"" to a break-up that would delay the process several years.
It's the pension scheme that probably most influenced Ofcom's thinking. BT's retirement scheme, inherited from its time as a state-owned utility, has assets of about Â£40bn and a deficit, on some measures, of about Â£10bn, even though BT has poured in billions of pounds in recent years to redress the gap.
Senior sources at the company say that about 80% of the scheme relates to Openreach, the internet infrastructure provider that BT's rivals would like to see spun off.
Separating the pension as part of a break-up would be a costly headache - and there is the small matter of a government guarantee on part of the scheme, something that BT fought in the courts to preserve and won.
Creating two new pension schemes, with the risk of weakening the financial resources of one or the other, might be too hot a political potato, even in the pursuit of faster broadband.
BT's share price reaction might turn out to be overdone. Ms White plans to enforce the separation by introducing not only a new board to run Openreach, but also new articles of association that will give directors a duty to serve customers of the network as much as the company's owners.
This holds out an obvious prospect of conflicts to come, and runs counter to the normal assumption that in private companies, the shareholder is king.
It also carries an echo of the ""golden shares"" held by the government in Rolls-Royce and BAE Systems, two companies judged important for the defence of the realm. In each case, the golden share is actually enshrined by specific articles of association that give directors and the government powers beyond those normally enjoyed by company boards.
BT's chief executive, Gavin Patterson, said he thought he could reach a compromise with Ofcom, but admitted they would need to see the detail of the new articles.
If they prove too much at odds with BT's own desire to control Openreach - which it will still own - get ready for a court battle and perhaps, eventually, a full break-up.","The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure.",Shares in BT have reacted with a mixture of relief and relief after the regulator Ofcom said it would not force the company into a spin-off.,"Shares in BT have jumped on news that the regulator, Ofcom, has ruled out spinning off the company into a new company.",0.114867,0.015344,0.798113,0.765521,0.765385,0.768182,0.5594549999999999,0.5163490000000001,-0.04310599999999987,0.049592,hf_beam_0,hf_beam_11,baseline,Entity swap / wrong named entity / unsupported named entity,No clear factual issue,False,Sentence count=1; entity_support=0.765; factcc_style=0.115,baseline,False,False,Entity swap / wrong named entity / unsupported named entity,No clear factual issue,False,codex,ai-assisted expert adjudication,Sentence count=1; entity_support=0.765; factcc_style=0.115
8,baseline_win | factuality_regression | Entity swap / wrong named entity / unsupported named entity,baseline_win,factuality_regression,40181128,test_final,"Media playback is not supported on this device
""If I push it, I could go backwards or end up back on medication,"" he said. ""There is also a chance of rejection.""
The former Manchester United, Newcastle and Blackburn forward suffered kidney failure in 2015 after contracting an airborne virus.
He has just returned to his role as a United ambassador following surgery.
The 45-year-old is not even allowed to fly to Barcelona for a Manchester United legends game on 30 June.
Cole said: ""It is a long road ahead. It is a tough road and different to the battles I have had before.
""It is not like getting a football injury, when you go to the gym and work a bit harder.""
His 28-year-old nephew Alexander provided the donor kidney - ""a noble job"" as Cole described it.
Cole has improved physically and has lost most of the weight he gained through his illness.
And while there is still more work to do, Cole, who will be United's assistant manager for the return legends game against Barcelona at Old Trafford on 2 September, is looking forward to playing if a similar match is staged in 2018.
He said: ""I still get very tired but I can do a lot more than I was able to two years ago. If this game is played next year I want to be out there.""
Earlier this week, another former Newcastle and England striker, Alan Shearer, told the BBC he felt English clubs were a long way off being able to challenge for the Champions League.
Cole agrees, saying: ""From what I have seen in Europe, I am not sure any of the English teams will win it. They are miles apart.
""If you look at Real Madrid, Barcelona or Bayern Munich, a lot of the players people are talking about Premier League clubs paying £50m or £60m for can't get in their teams.
""That tells you where they are at.""","Former England striker Andy Cole says he faces a ""long road ahead"" as he recovers from his recent kidney transplant.","Former England striker Carlton Cole says he has a ""long road ahead"" ahead of him to recovery from a second kidney transplant.","Former England and Manchester United striker Carlton Cole says he does not want to push himself too hard in his bid to recover from kidney failure, fearing it could backfire.",0.73401,0.092067,0.069362,0.263688,0.45,0.613333,0.4177906666666667,0.3230293333333333,-0.09476133333333342,-0.25904800000000006,hf_beam_1,hf_beam_5,baseline,Entity swap / wrong named entity / unsupported named entity,No clear factual issue,False,Sentence count=1; entity_support=0.450; factcc_style=0.734,baseline,False,False,Entity swap / wrong named entity / unsupported named entity,No clear factual issue,False,codex,ai-assisted expert adjudication,Sentence count=1; entity_support=0.450; factcc_style=0.734
9,reranker_win | high_factuality_gain | Entity swap / wrong named entity / unsupported named entity,reranker_win,high_factuality_gain,34001040,test_final,"On Thursday, a human skull was found alongside the M54 slip road by workers doing a survey of the junction four roundabout, near Telford.
Police confirmed the skull was that of an adult male and had been there for at least two years.
West Mercia Police said ""further skeletal remains"" were found close to the skull.
The eastbound entry slip road remains partially closed.
Det Chief Insp Neil Jamieson said: ""We are in the very early stages of this investigation and inquiries are ongoing.""
He said further forensic examinations and excavations were being carried out and police had been in contact with neighbouring forces asking for information about people who had been reported missing.
Archaeological experts may be called in to help with the investigation.
""This will be a lengthy process but we will continue to update the public in due course,"" he added.","More human remains have been found near a motorway slip road in Shropshire, police have said.",Police investigating the discovery of a human skull on a motorway in Shropshire have said further skeletal remains have been found.,Police investigating the discovery of a human skull on a motorway have said further remains have been found.,0.101353,0.88146,0.0,0.772638,0.483333,0.483333,0.1948953333333333,0.7124770000000001,0.5175816666666668,-0.08426,hf_beam_0,hf_beam_9,reranked,Entity swap / wrong named entity / unsupported named entity,No clear factual issue,False,Sentence count=1; entity_support=0.483; factcc_style=0.881,reranked,False,False,Entity swap / wrong named entity / unsupported named entity,No clear factual issue,False,codex,ai-assisted expert adjudication,Sentence count=1; entity_support=0.483; factcc_style=0.881
10,reranker_win | high_factuality_gain | Negation / polarity / stance reversal,reranker_win,high_factuality_gain,36792661,test_final,"The Yomper statue is currently located in front of the Royal Marines Museum at Eastney.
The National Museum of the Royal Navy has started consulting over a proposed move to Portsmouth Historic Dockyard.
Campaigners insist it is a local memorial to the conflict and ""belongs"" at Eastney.
The Yomper statue was created by Philip Jackson, depicting a royal marine marching across the islands during the 1982 conflict and was unveiled by former prime minister, Lady Thatcher, in 1992.
The National Museum of the Royal Navy (NMRN) is planning to relocate the Royal Marines Museum from Eastney to Portsmouth Historic Dockyard as part of a Â£13m lottery funded project and wants to take the statue with it.
An online petition against moving the statue has attracted more than 1,800 signatories, saying it was ""now considered as our local Falklands War Memorial"".
Sheila Mackie who set it up said: ""The imposing scale of The Yomper needs space and adequate distance to be fully appreciated, and the visualization of the part in the major campaign that the statue represents couldn't be achieved in an interior space.""
Conservative-led Portsmouth City Council also voted to express a ""clear preference"" that the statue remain where it it is.
Its motion stated: ""The Yomper statue has graced the seafront for many years, serving as a reminder of both the Falklands War and of the Marines' historical association with Eastney.""
NMRN director Jon Rawlinson said the new museum site would potentially have 750,000 visitors a year, compared to 40,000 at the current museum.
""He would be seen by far more people at the historic dockyard, but of course he was built for here [Eastney] and is part of here. ""
He said no decision had been made and it would consider all comments submitted to its public consultation.",Plans to move a statue depicting a Royal Marine in the Falklands conflict away from Portsmouth seafront have been criticised.,Controversial plans to move a statue commemorating the Falklands War have been given the go-ahead.,"An online petition against plans to move a statue commemorating the Falklands War has attracted more than 1,800 signatures.",0.73924,0.895023,0.0,0.885927,0.708333,0.968421,0.4825243333333333,0.916457,0.4339326666666667,-0.15000000000000002,hf_beam_0,hf_beam_1,reranked,Negation / polarity / stance reversal,No clear factual issue,False,Sentence count=1; entity_support=0.968; factcc_style=0.895,reranked,False,False,Negation / polarity / stance reversal,No clear factual issue,False,codex,ai-assisted expert adjudication,Sentence count=1; entity_support=0.968; factcc_style=0.895
